code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
coldskill	1	21	item_elemskill		4	3	cold_skills																							+# to Cold Skills		Min #	Max #		0
ltngskill	1	21	item_elemskill		2	3	ltng_skills																							+# to Lightning Skills		Min #	Max #		0
poisskill	1	21	item_elemskill		5	3	pois_skills																							+# to Poison Skills		Min #	Max #		0
magskill	1	21	item_elemskill		3	3	mag_skills																							+# to Magic Skills		Min #	Max #		0
fireskill	1	21	item_elemskill		1	3	fire_skills																							+# to Fire Skills		Min #	Max #		0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
																																			0
