Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
cold_skills	363		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	modcoldsk	modcoldsk										0
ltng_skills	364		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	modltngsk	modltngsk										0
pois_skills	365		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	modpoissk	modpoissk										0
mag_skills	366		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	modmagsk	modmagsk										0
fire_skills	368		1	3	3						1				76	1024		4	0	3	0	3															157	19	1	modfiresk	modfiresk										0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
																																																			0
